No.,Result,Record,Opponent,Type,"Round, time",Date,Age,Location,Notes
72,Loss,62–8–2,Yordenis Ugás,UD,12,"Aug 21, 2021","42 years, 247 days","T-Mobile Arena, Paradise, Nevada, U.S.",For WBA (Super) welterweight title
71,Win,62–7–2,Keith Thurman,SD,12,"Jul 20, 2019","40 years, 215 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBA (Super) welterweight title
70,Win,61–7–2,Adrien Broner,UD,12,"Jan 19, 2019","40 years, 33 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBA (Regular) welterweight title
69,Win,60–7–2,Lucas Matthysse,TKO,"7 (12), 2:43","Jul 15, 2018","39 years, 210 days","Axiata Arena, Kuala Lumpur, Malaysia",Won WBA (Regular) welterweight title
68,Loss,59–7–2,Jeff Horn,UD,12,"Jul 2, 2017","38 years, 197 days","Suncorp Stadium, Brisbane, Australia",Lost WBO welterweight title
67,Win,59–6–2,Jessie Vargas,UD,12,"Nov 5, 2016","37 years, 324 days","Thomas & Mack Center, Paradise, Nevada, U.S.",Won WBO welterweight title
66,Win,58–6–2,Timothy Bradley,UD,12,"Apr 9, 2016","37 years, 114 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won vacant WBO International welterweight title
65,Loss,57–6–2,Floyd Mayweather Jr.,UD,12,"May 2, 2015","36 years, 136 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Lost WBO welterweight title;
,,,,,,,,,"For WBA (Unified), WBC, and The Ring welterweight titles"
64,Win,57–5–2,Chris Algieri,UD,12,"Nov 23, 2014","35 years, 341 days","Cotai Arena, Macau, China SAR",Retained WBO welterweight title
63,Win,56–5–2,Timothy Bradley,UD,12,"Apr 12, 2014","35 years, 116 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBO welterweight title
62,Win,55–5–2,Brandon Ríos,UD,12,"Nov 24, 2013","34 years, 342 days","Cotai Arena, Macau, China SAR",Won vacant WBO International welterweight title
61,Loss,54–5–2,Juan Manuel Márquez,KO,"6 (12), 2:59","Dec 8, 2012","33 years, 357 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
60,Loss,54–4–2,Timothy Bradley,SD,12,"Jun 9, 2012","33 years, 175 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Lost WBO welterweight title
59,Win,54–3–2,Juan Manuel Márquez,MD,12,"Nov 12, 2011","32 years, 330 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBO welterweight title
58,Win,53–3–2,Shane Mosley,UD,12,"May 7, 2011","32 years, 141 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Retained WBO welterweight title
57,Win,52–3–2,Antonio Margarito,UD,12,"Nov 13, 2010","31 years, 331 days","Cowboys Stadium, Arlington, Texas, U.S.",Won vacant WBC super welterweight title
56,Win,51–3–2,Joshua Clottey,UD,12,"Mar 13, 2010","31 years, 86 days","Cowboys Stadium, Arlington, Texas, U.S.",Retained WBO welterweight title
55,Win,50–3–2,Miguel Cotto,TKO,"12 (12), 0:55","Nov 14, 2009","30 years, 332 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won WBO welterweight title
54,Win,49–3–2,Ricky Hatton,KO,"2 (12), 2:59","May 2, 2009","30 years, 136 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",Won IBO and The Ring light welterweight titles
53,Win,48–3–2,Oscar De La Hoya,RTD,"8 (12), 3:00","Dec 6, 2008","29 years, 355 days","MGM Grand Garden Arena, Paradise, Nevada, U.S.",
52,Win,47–3–2,David Díaz,TKO,"9 (12), 2:24","Jun 28, 2008","29 years, 194 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Won WBC lightweight title
51,Win,46–3–2,Juan Manuel Márquez,SD,12,"Mar 15, 2008","29 years, 89 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Won WBC and vacant The Ring super featherweight titles
50,Win,45–3–2,Marco Antonio Barrera,UD,12,"Oct 6, 2007","28 years, 293 days","Mandalay Bay Events Center, Paradise, Nevada, U.S.",Retained WBC International super featherweight title
49,Win,44–3–2,Jorge Solís,KO,"8 (12), 1:16","Apr 14, 2007","28 years, 118 days","Alamodome, San Antonio, Texas, U.S.",Retained WBC International super featherweight title
